Gene,Phase C p-value,Phase C effect,Phase C fold-change,Phase D p-value,Phase D effect,Pct cells,Phase,Highly expressed C+,Highly expressed C-,De-repressed phase D,Case-control p-value,Case-control fold-change
TMEM232,4.16e-14,0.001458544,1.245,0.746,0.02082185,99.45,C+,Y,N,N,0.0163,1.094
TNRC6A,8.09e-45,0.001175985,1.193,1.92e-23,0.2795534,100.0,C+,Y,N,N,0.00055,1.1
TNRC6C,1.98e-11,0.0007680828,1.122,2.47e-07,0.2004833,99.94,C+,Y,N,N,0.000642,1.098
TP53BP1,3.7e-14,0.001113703,1.182,8.85e-07,0.2500136,98.61,C+,Y,N,N,0.011,1.075
TRA2A,5.25e-14,0.0009271658,1.149,0.000531,0.1464354,99.76,C+,Y,N,N,0.000109,1.142
TRIP12,6.24e-15,0.0008577074,1.137,0.0891,0.06369401,99.98,C+,Y,N,N,0.0388,1.042
TRPC1,4.49e-13,0.001116957,1.182,0.0491,0.1039629,98.96,C+,Y,N,N,0.00475,1.066
TTC3,2.42e-19,0.0006980805,1.11,0.00162,0.08200394,100.0,C+,Y,N,N,0.144,0.973
TTC39C,4.97e-12,0.001461064,1.245,0.233,-0.08716999,94.16,C+,Y,N,N,0.0112,1.1
TTC8,8.84e-24,0.001767523,1.304,0.00539,0.1667269,98.06,C+,Y,N,N,0.394,0.932
UBE2E2,1.52e-19,0.001105509,1.18,0.28,0.04400852,99.98,C+,Y,N,N,2.59e-08,1.309
UBN2,5.32e-12,0.0008608188,1.138,1.67e-06,0.2048457,99.55,C+,Y,N,N,3.76e-05,1.105
UBQLN1,1.1e-14,0.001363271,1.227,4.1e-06,0.2801093,94.0,C+,Y,N,N,0.0022,1.111
UBR2,1.69e-14,0.0009776068,1.158,4.54e-08,0.2380747,99.49,C+,Y,N,N,4.54e-06,1.185
UBR3,8.11e-17,0.0007194183,1.114,0.279,-0.0316627,99.98,C+,Y,N,N,0.0577,1.031
UBR5,1.5e-16,0.0007857029,1.125,0.449,0.02443635,100.0,C+,Y,N,N,0.00047,1.098
UBXN4,1.09e-11,0.000992215,1.16,1.81e-07,0.261545,98.55,C+,Y,N,N,0.0101,1.061
UNC79,1.2e-14,0.000691738,1.109,0.00461,-0.08519374,100.0,C+,Y,N,N,0.0742,0.966
UPP2,5.95e-17,0.001776185,1.305,8.58e-05,0.2787846,97.31,C+,Y,N,N,0.0126,1.173
USP24,2.18e-12,0.00094917,1.153,0.000138,0.1764787,99.33,C+,Y,N,N,0.0889,1.043
USP34,3.89e-16,0.000756461,1.12,0.00234,0.09601872,100.0,C+,Y,N,N,0.000283,1.091
USP47,8.18e-16,0.0009549153,1.154,3.1e-06,0.1873559,99.92,C+,Y,N,N,8.96e-09,1.185
UTY,1.69e-15,0.001555981,1.263,0.567,-0.03343544,32.87,C+,N,N,N,0.0788,1.143
VEZT,1.62e-21,0.001134305,1.185,3.68e-05,0.1691446,99.88,C+,Y,N,N,0.908,0.974
