Gene,Phase C p-value,Phase C effect,Phase C fold-change,Phase D p-value,Phase D effect,Pct cells,Phase,Highly expressed C+,Highly expressed C-,De-repressed phase D,Case-control p-value,Case-control fold-change
CHST11,4.75e-13,-0.0009905188,0.862,0.00311,-0.1335456,99.94,C-,N,Y,N,0.631,0.971
CHST15,2.58e-13,-0.001287878,0.824,3.03e-05,-0.2384566,99.59,C-,N,Y,N,0.162,1.173
CHSY3,1.61e-20,-0.00127261,0.826,1.91e-15,-0.3544584,100.0,C-,N,Y,N,0.248,0.96
CIT,1.2e-11,-0.0007780354,0.89,6e-06,-0.1706389,100.0,C-,N,Y,N,4.7e-06,1.268
CKB,1.16e-29,-0.002924789,0.645,0.0024,0.2298551,93.16,C-,N,Y,N,0.149,0.887
CNR1,7.19e-25,-0.001743468,0.77,5.05e-13,-0.3817443,98.04,C-,N,Y,N,3.65e-05,0.726
COA6,7.32e-15,-0.0018556,0.757,2.7e-05,-0.3149142,94.12,C-,N,Y,N,0.151,0.932
COCH,3.18e-67,-0.002943483,0.643,1.23e-14,-0.4147669,99.9,C-,N,Y,N,0.12,0.934
CORO2B,1.82e-19,-0.001511905,0.797,0.0912,-0.09183034,99.2,C-,N,Y,N,0.0112,0.9
CRYBG3,1.65e-18,-0.001802244,0.763,6.04e-05,-0.266053,99.37,C-,N,Y,N,0.744,0.967
CTTNBP2,2.57e-13,-0.0007932278,0.888,5.58e-07,-0.1789521,100.0,C-,N,Y,N,0.941,0.994
CYP46A1,2.72e-13,-0.001007887,0.86,0.0756,-0.07956876,99.9,C-,N,Y,N,8.53e-06,0.838
DAPK1,9.57e-14,-0.000806721,0.886,8.23e-06,-0.1588403,100.0,C-,N,Y,N,0.98,1.006
DDO,5.02e-11,-0.002801264,0.657,0.00523,-0.373111,66.25,C-,N,N,N,0.0264,0.817
DGKB,2.26e-27,-0.001024847,0.858,2.56e-45,-0.4370924,100.0,C-,N,Y,N,0.00993,0.864
DGKH,1.01e-16,-0.0008175637,0.885,3.83e-09,-0.1897876,100.0,C-,N,Y,N,0.00973,1.061
DGKI,2.58e-19,-0.0008015655,0.887,1.62e-14,-0.2243613,100.0,C-,N,Y,N,0.00729,0.906
DKK3,1.39e-15,-0.001050122,0.854,0.16,0.05935636,99.96,C-,N,Y,N,0.0388,1.108
DLGAP1,1.08e-28,-0.001098309,0.848,6.51e-17,-0.2698386,100.0,C-,N,Y,N,0.00792,1.155
DNMT3A,6.22e-21,-0.001279622,0.825,0.00124,-0.1437497,99.94,C-,N,Y,N,6.46e-05,0.847
