"logFC_(Intercept)","logFC_conditiondiseased","logFC_age_at_death","logFC_pct_counts_mt","logFC_pct_intronic","logFC_PC_1","logFC_PC_2","logFC_PC_3","logFC_PC_4","logFC_PC_5","logFC_PC_6","logFC_PC_7","logFC_PC_8","logFC_PC_9","se_(Intercept)","se_conditiondiseased","se_age_at_death","se_pct_counts_mt","se_pct_intronic","se_PC_1","se_PC_2","se_PC_3","se_PC_4","se_PC_5","se_PC_6","se_PC_7","se_PC_8","se_PC_9","p_(Intercept)","p_conditiondiseased","p_age_at_death","p_pct_counts_mt","p_pct_intronic","p_PC_1","p_PC_2","p_PC_3","p_PC_4","p_PC_5","p_PC_6","p_PC_7","p_PC_8","p_PC_9","gene_id","gene"
-10.5926890368757,-0.0320715938483806,-0.00331943355600426,-0.255126280644674,-1.75829040613046,-0.0117925746843521,-0.0135221197434199,-0.00676458803744943,-0.0184741185200192,0.0133470273424692,-0.0200252455122648,0.00583893105049996,-0.0182806856799417,-0.0138443798257243,0.0208320914491611,0.0528046606116123,0.00222566980920323,0.0838769427367141,0.343140006664547,0.00268872922131847,0.0020265656862575,0.00558038847335835,0.00268011564982521,0.00305191422952329,0.0112407095266167,0.00322267316698764,0.00485485297795249,0.0070849630280546,0,0.543610078105953,0.13584830272925,0.00235266873154371,2.98931326355294e-07,1.15491945623098e-05,2.51600326783662e-11,0.225433010842179,5.46162157103268e-12,1.22365670336276e-05,0.0748319448804756,0.0700127018647935,0.000166252196336672,0.0506951738258253,11,"LRRC58"
-14.1895478777735,0.0725249919720764,-0.00520959427600196,-1.427822656906,3.28629142474794,0.00220430348913937,-0.0244245745702278,-0.0198899399988208,0.00233058127853327,0.0439654988481352,-0.150692403523516,0.037097868459906,0.0264391564363135,-0.18878094985226,0.0703738275796228,0.195471508974095,0.00818789965013575,0.541480561371056,1.97113835799853,0.0148205133261455,0.0117888628423677,0.0373777020723865,0.0155310027236461,0.0182175637525533,0.0677813959342701,0.0193627895435105,0.028613708780978,0.0413065543633823,0,0.710618243118156,0.524610056304652,0.00836708791105909,0.0954736792589482,0.881764103341756,0.0382808636892651,0.594633303793387,0.880717328252357,0.0158062960780606,0.0262015172883691,0.055373223336494,0.355484686864948,4.87161320690054e-06,12,"FSTL1"
-11.1138624809202,0.0679424907125956,0.00126297666194428,-0.365840290209706,-1.80200133793946,0.020807120416748,-0.00349627192672628,-0.00604537867735256,0.0207864965403926,0.0119101794635252,0.00678597987005817,-0.000131852273228372,0.00162015541104023,-0.0318124228414157,0.0502792255646226,0.125137317875551,0.00512416707548585,0.108223151379215,0.414209684085013,0.00312058123697316,0.00281199486137442,0.0104940184124993,0.00378215181088837,0.00378972333116922,0.0125760080817816,0.00395239509345492,0.00590770768036186,0.00863107463790006,0,0.587168718718285,0.805314919950161,0.000723737177396864,1.35854217503358e-05,2.59831381134058e-11,0.213741753275429,0.564562104246702,3.88624671257157e-08,0.00167364727843483,0.589474786480545,0.973387432031895,0.783896853149633,0.000227984520070207,13,"NDUFB4"
-14.3363858325375,-0.0313535211124195,-0.0131433345510904,-0.501443262993743,2.79060674981254,0.0495628496204651,-0.0157663845593882,0.0169587858010977,-0.0212769276335677,0.0140238545020768,-0.0208709673939808,-0.0175179530314905,0.0149140604420929,-0.0643537141855452,0.123010144934647,0.317141137019214,0.0142076937156345,0.601203022193383,2.24446494283411,0.0176455103146771,0.01437968062505,0.0518587487942072,0.0202473408404805,0.0215973479912112,0.0783857946415665,0.0218228332592186,0.0313787281065137,0.0491038535334931,0,0.921247054466138,0.3549213211409,0.404243546601937,0.213746885001842,0.00497253003369869,0.272888471445273,0.743653665932236,0.293327271717017,0.516123646673882,0.790039313677451,0.422127892815222,0.63457881492137,0.190005304837934,14,"HGD"
-10.9799548450979,-0.17727887410154,-0.000975923324656679,-0.0144416750203733,-1.31353015310805,-0.0087072327734879,-0.0108747643052246,0.00198096257389944,-0.00750490950094452,0.00524842529961285,-0.00109152076253952,0.00565225799352779,-0.000223984210861247,-0.00405237671738,0.0668866030002184,0.159876766238085,0.00700883127574578,0.113036240939525,0.462624352198116,0.00364899689022674,0.00258580672258967,0.0056951520394256,0.00337973716298191,0.00378733900811095,0.0136547137775271,0.00420506676594013,0.00637125565629365,0.00920624938736996,0,0.267496186953831,0.889258961117643,0.898337751596694,0.00452123735535498,0.0170235360178792,2.60436934163042e-05,0.72796550541624,0.0263807706342219,0.165813554989484,0.936287134642259,0.17889854087117,0.971955804626129,0.659809114739541,15,"RABL3"
-12.0174108392469,0.0670887716972678,-0.00396732018908613,-0.299882191782283,-3.18897641696607,-0.0284128647258153,-0.0118771925752026,0.00180977646906199,-0.00970813791091225,0.00654597050722388,0.00306044840268015,0.0176400848632496,0.0181363035510474,-0.019223721260594,0.0283675212424619,0.0796989531662352,0.00328636668206998,0.173149209164272,0.702775526560295,0.00547205006725036,0.00393009417624072,0.00913230837380978,0.0050540567320731,0.00571697604555249,0.0198099575482662,0.00661156854899325,0.0100818669226397,0.0145259519457524,0,0.39991260575734,0.227352982927064,0.0832861479402205,5.68741893175055e-06,2.07642792083413e-07,0.00251016006813026,0.842909752393114,0.0547492974787276,0.252206770964249,0.877223074585279,0.0076289832989415,0.0720339804853114,0.185700642381625,16,"GTF2E1"
-12.5492800065806,0.0341266093926159,-0.0122060225302771,0.438519090443085,-0.967589634960914,-0.010312114001981,-0.0150801966126597,0.00830514338747309,-0.00442467716145238,0.00443004150166957,0.00858975506215026,0.00562898552817323,0.0105625001702147,0.0672203601518499,0.107164983809955,0.279627843405188,0.0109347559247028,0.248883672101635,1.07789825866324,0.00814358623524856,0.00604476368323998,0.0127660139231806,0.00757066552391926,0.00776205542570246,0.0235376807298664,0.00955921087380131,0.0149230424195777,0.0207401905047006,0,0.902864996274963,0.264311175908348,0.0780787610892782,0.369365116971287,0.205410498070925,0.012604458359608,0.515326240398641,0.55891744483518,0.568182364450438,0.715158926745276,0.555958798929173,0.479070683928191,0.00119082927263572,17,"ENSG00000286827"
-6.43669247185407,0.0492600070641684,-4.84605332003795e-05,0.374008553524407,1.25730983294961,-0.010622201007866,-0.00564316619175682,0.00160966590603892,0.00382329333794588,-0.00944625963950804,-0.00360548270978828,0.0189177291020196,-0.00351537347360926,0.00727733963350862,0.0397543184439401,0.0959601707888656,0.00403869526282617,0.0296332174474321,0.129907321195818,0.00101412449023268,0.000763076951495034,0.00150592152389016,0.000954949182821724,0.000947344875162716,0.00279212555586275,0.0011347180432501,0.00164537873164165,0.00230487459379003,0,0.607714871172475,0.990426367696317,1.61220107435555e-36,3.72084510908836e-22,1.13424214425288e-25,1.41112731823696e-13,0.285118805059005,6.236957236817e-05,2.03547628170336e-23,0.196598307619703,2.10364929952335e-62,0.0326376015428635,0.00159199739757342,18,"STXBP5L"
-12.8831558097601,-0.0695904871267434,-0.00331477295747825,-0.596901341605384,-2.11553444124086,0.00168215688960023,-0.0168732812241359,0.016807846599179,-0.0161229303266483,0.0122117181262931,0.0306138008899773,-0.00453759263852655,0.00599393831790145,-0.0346776082939344,0.113431692551864,0.281504177616126,0.0112262408682847,0.284013433365659,1.01053747640787,0.00760781126279007,0.00559927678057272,0.00530685020012922,0.00634027303236503,0.00621302263378792,0.00638388335438746,0.00904214687951074,0.0146269574086219,0.0215412044067446,0,0.804746148125443,0.767787576383168,0.0355825546725165,0.0363068177998343,0.825007424624934,0.0025827422432199,0.00153915357817691,0.0109924280747966,0.0493559836446579,1.62283739922541e-06,0.615789281387832,0.681962137033679,0.107435671403891,19,"ENSG00000287022"
-12.6724846970644,0.059631653814305,0.00259208860612751,-0.298323618211214,-1.64009031605638,-0.0197728451989133,-0.0279586371319784,0.0233064081538188,-0.00431315449765249,0.00591755821821352,0.0278988213136133,0.0275557863428491,0.0182799571115858,0.0116540174130477,0.0685915692690549,0.174723874488343,0.00705058783652902,0.251005829234972,1.0259387142347,0.00786688967977217,0.00601018674341457,0.0175705229664481,0.00776464968210177,0.00697936418282895,0.0127894289455751,0.00938572656063814,0.0145933209831413,0.0191993406234664,0,0.732884660594915,0.713140574838814,0.234631475571705,0.109904159634535,0.0119564852958284,3.28930540603649e-06,0.184690913166526,0.578562256641347,0.396513190003349,0.0291540689212101,0.0033255504797474,0.210342251766071,0.543850301895887,20,"POLQ"
